id,title,date,article_url,place_of_accident,district,number_of_deaths,number_of_injured,vehicle_type,cause_of_accident,country,report_type,type_of_accident
436,Road accident laws must not be relaxed,2019-09-27 11:48:53,https://en.prothomalo.com/opinion/Road-accident-laws-must-not-be-relaxed,"airport road, dhaka",dhaka,2,0,bus,,Bangladesh,event,road accident
439,Mymensingh road accident kills 2,2019-09-09 11:48:31,https://en.prothomalo.com/bangladesh/accident/mymensingh-road-accident-kills-2,bagar bazar signboard area,mymensingh,2,0,truck,hit by a truck,Bangladesh,event,road accident
440,Mymensingh road accident kills 2,2019-09-09 11:48:31,https://en.prothomalo.com/bangladesh/Mymensingh-road-accident-kills-2,bagar bazar signboard area,mymensingh,2,0,truck,hit by a truck,Bangladesh,event,road accident
441,Cop dies in Rajshahi road accident,2019-09-02 13:05:55,https://en.prothomalo.com/bangladesh/Cop-dies-in-Rajshahi-road-accident,godagari upazila,rajshahi,1,0,motorbike,hit by a motorbike,Bangladesh,event,road accident
443,Road accidents kill 3 youths,2019-08-27 13:59:05,https://en.prothomalo.com/bangladesh/Road-accidents-kill-3-youths,"wari, dhaka",dhaka,1,0,"bicycle, vehicle",vehicle hit bicycle,Bangladesh,event,road accident
447,Road accident kills 2,2019-08-20 10:07:22,https://en.prothomalo.com/bangladesh/Road-accident-kills-2-3,amjurhat,"patiya, chattogram",2,0,"truck, motorcycle",truck crashed into a motorcycle,Bangladesh,event,road accident
448,Road accident kills 2,2019-08-20 10:07:22,https://en.prothomalo.com/bangladesh/Road-accident-kills-2-2,amjurhat,patiya,2,0,"truck, motorcycle",truck crashed into a motorcycle,Bangladesh,event,road accident
449,Road accident kills 2,2019-08-20 10:07:22,https://en.prothomalo.com/bangladesh/Road-accident-kills-2,amjurhat,patiya,2,0,"truck, motorcycle",truck crashed into motorcycle,Bangladesh,event,road accident
451,Road accidents: No directives working,2019-08-19 12:56:30,https://en.prothomalo.com/opinion/Road-accidents-No-directives-working,bangladesh,,0,0,,reckless driving,Bangladesh,event,road accident
453,"Parents, two children die in road accident",2019-08-16 14:46:22,https://en.prothomalo.com/bangladesh/4-of-a-family-killed-in-road-crash,ramgopalpur,mymensingh,4,2,private car and a bus,collision,Bangladesh,event,road accident
457,Two killed in Bagerhat road accident,2019-07-08 18:46:16,https://en.prothomalo.com/bangladesh/Two-killed-in-Bagerhat-road-accident,bishwa road intersection,bagerhat,2,0,"easy-bike, cyclist, truck",hit by a truck,Bangladesh,event,road accident
459,Accidents kill 12 people per hour in Bangladesh,2019-07-04 17:28:03,https://en.prothomalo.com/bangladesh/12-people-die-in-accidents-per-hour,national institute of traumatology and orthopaedic rehabilitation,dhaka,0,1,,,Bangladesh,event,road accident
462,2 killed in road accident,2019-06-27 11:25:11,https://en.prothomalo.com/bangladesh/2-killed-in-road-accident-3,"shalimun, tongi, gazipur",gazipur,2,8,"truck, human hauler",truck rammed into a human hauler,Bangladesh,event,road accident
463,2 killed in road accident,2019-06-27 11:25:11,https://en.prothomalo.com/bangladesh/2-killed-in-road-accident,"shalimun, tongi, gazipur",gazipur,2,8,"truck, human hauler",truck rammed into a human hauler,Bangladesh,event,road accident
468,Sirajganj road accident kills 4,2019-06-04 11:42:04,https://en.prothomalo.com/bangladesh/Sirajganj-road-accident-kills-4,"tabaripara of chandaikona union of raiganj upazila, sirajganj",sirajganj,4,23,bus,plunged into a roadside ditch,Bangladesh,event,road accident
469,Compensation in road accidents rare,2019-05-14 14:50:08,https://en.prothomalo.com/bangladesh/Compensation-in-road-accidents-rare,near mouchak market,dhaka,1,0,bus,run over,Bangladesh,event,road accident
470,3 killed in road accident,2019-05-05 09:59:08,https://en.prothomalo.com/bangladesh/3-killed-in-road-accident-2,beribadh area of village char newton,bhola,3,2,trolley,driver lost control over the steering,Bangladesh,event,road accident
471,3 killed in road accident,2019-05-05 09:59:08,https://en.prothomalo.com/bangladesh/3-killed-in-road-accident,beribadh area of village char newton,bhola,3,2,trolley,driver lost control over the steering,Bangladesh,event,road accident
473,Bus driver responsible for Shahbagh accident: Police,2019-04-23 14:12:50,https://en.prothomalo.com/bangladesh/Bus-driver-responsible-for-Shahbagh-accident,matsya bhaban intersection,dhaka,2,2,bus,driver's negligence (claimed brake failure),Bangladesh,event,road accident
474,"Eight of a family killed as microbus plunges into pond 

",2020-08-18 12:09:23,https://en.prothomalo.com/bangladesh/accident/8-killed-in-mymensingh-road-accident,bashati area of phulpur upazila,mymensingh,8,0,microbus,driver lost control over the steering,Bangladesh,event,road accident
477,21 killed in separate road accidents,2019-03-28 20:49:01,https://en.prothomalo.com/bangladesh/21-killed-in-separate-road-accidents,"chattogram, madaripur, jashore and rangamati","chattogram, madaripur, jashore and rangamati",21,53,,separate road accidents,Bangladesh,event,road accident
478,"Mother, daughter among 8 killed in road accident",2019-03-28 11:09:04,https://en.prothomalo.com/bangladesh/Road-crash-kills-8,chattogram-cox’s bazar highway,chattogram,8,0,bus and a microbus,head-on collision,Bangladesh,event,road accident
479,The old tale of road accidents: Lives never counted,2019-03-28 10:06:26,https://en.prothomalo.com/opinion/The-old-tale-of-road-accidents-Lives-never,lakshmipur,lakshmipur,7,0,truck,crushed under a truck,Bangladesh,event,road accident
480,Sylhet Agri University sues 3 over student’s death in road accident,2019-03-25 20:11:13,https://en.prothomalo.com/bangladesh/Sylhet-Agri-University-sues-3-over-student’s-death,sherpur,moulvibazar sadar,1,0,bus,pushed off the vehicle by helper,Bangladesh,event,road accident
481,Students block road demanding compensation for accident victim,2019-03-23 15:39:27,https://en.prothomalo.com/bangladesh/Students-block-road-demanding-compensation-for,benapole-jashore highway,jashore,0,0,,,Bangladesh,event,road accident
482,3 killed in road accident,2019-03-15 15:18:48,https://en.prothomalo.com/bangladesh/3-killed-in-road-accident-2,dhaka-aricha highway in nayadingi of saturia upazila,manikganj,3,0,"truck, pick-up van",truck hit pick-up van,Bangladesh,event,road accident
483,3 killed in road accident,2019-03-15 15:18:48,https://en.prothomalo.com/bangladesh/3-killed-in-road-accident,dhaka-aricha highway in nayadingi of saturia upazila,manikganj,3,1,truck and pick-up van,truck hit pick-up van,Bangladesh,event,road accident
484,Road accident kills schoolgirl,2019-03-02 10:47:13,https://en.prothomalo.com/bangladesh/Road-accident-kills-schoolgirl,sylhet-fenchuganj road at dharampur village,sylhet,1,0,bus,crushed to death by a bus,Bangladesh,event,road accident
485,Road accident kills 2,2019-02-14 11:33:59,https://en.prothomalo.com/bangladesh/Road-accident-kills-2-3,shialdangi village,rajbari,2,8,bus,plunged into a roadside ditch,Bangladesh,event,road accident
486,Road accident kills 2,2019-02-14 11:33:59,https://en.prothomalo.com/bangladesh/Road-accident-kills-2-2,shialdangi village,rajbari,2,8,bus,plunged into a roadside ditch,Bangladesh,event,road accident
487,Road accident kills 2,2019-02-14 11:33:59,https://en.prothomalo.com/bangladesh/Road-accident-kills-2,shialdangi village,rajbari,2,8,bus,plunged into a roadside ditch,Bangladesh,event,road accident
488,Mentally challenged student killed in road accident,2019-02-09 14:42:41,https://en.prothomalo.com/bangladesh/Mentally-challenged-student-killed-in-road,malek bazar,gopalganj,1,0,bus,bus hit him when he was crossing the road,Bangladesh,event,road accident
489,JaPa MP wonders  no one to prevent road accidents!,2019-02-05 22:28:24,https://en.prothomalo.com/bangladesh/JaPa-MP-says-no-one-to-prevent-road-accidents,parliament,,0,0,long-route vehicles,lack of implementation of road safety directives,Bangladesh,event,road accident
490,Hundreds of people protest at siblings death in road accident,2019-01-31 14:53:37,https://en.prothomalo.com/bangladesh/Hundreds-of-people-protest-siblings-death-in-road,dhaka-mawa highway at rejendrapur,south keraniganj,2,0,truck,truck driver responsible for the death of two siblings,Bangladesh,event,road accident
491,Road accident kills 3,2019-01-31 13:46:06,https://en.prothomalo.com/bangladesh/Road-accident-kills-3,alalpur,mymensingh sadar upazila,3,2,ambulance,overturned after crashing into a roadside tree,Bangladesh,event,road accident
492,Two sued over Cumilla accident,2019-01-27 18:33:53,https://en.prothomalo.com/bangladesh/Two-sued-over-Cumilla-accident,chouddagram upazila,cumilla,13,0,truck,truck flipped on brick kiln workers,Bangladesh,event,road accident
493,5 of a bridal party killed in road accident,2019-01-15 22:48:28,https://en.prothomalo.com/bangladesh/5-of-a-bridal-party-killed-in-road-accident,birpasha of bijoynagar upazila,brahmanbaria,5,3,microbus,plunged into a roadside ditch,Bangladesh,event,road accident
495,Launch accident kills one,2019-01-06 12:46:38,https://en.prothomalo.com/bangladesh/Launch-accident-kills-one,river meghna,mehendiganj,1,3,,hit another anchored one,Bangladesh,event,road accident
499,Road accidents claim 6 lives in 4 districts,2018-12-15 09:18:12,https://en.prothomalo.com/bangladesh/Road-accidents-claim-6-lives-in-4-districts,chatmohar-tebunia road in neutigachha area of chatmohar upazila,pabna,2,0,motorcycle,driver lost control of the motorcycle while trying to save a dog.,Bangladesh,event,road accident
504,Chattogram truck accident kills 2,2018-10-23 15:37:16,https://en.prothomalo.com/bangladesh/Chattogram-truck-accident-kills-2,dhaka-chottagram highway in barotakia,mirsarai,2,1,truck,truck hit another one,Bangladesh,event,road accident
506,"Mother, daughter killed in road accident",2018-10-11 12:07:07,https://en.prothomalo.com/bangladesh/Mother-daughter-killed-in-road-accident-2,bhatiapara,nilphamari,2,1,truck and rickshaw-van,truck hit rickshaw-van,Bangladesh,event,road accident
507,"Mother, daughter killed in road accident",2018-10-11 12:07:07,https://en.prothomalo.com/bangladesh/Mother-daughter-killed-in-road-accident,bhatiapara,nilphamari,2,1,"truck, rickshaw-van",truck hit a rickshaw-van,Bangladesh,event,road accident
509,Schoolgirl killed in road accident,2018-10-07 14:15:45,https://en.prothomalo.com/bangladesh/Schoolgirl-killed-in-road-accident-2,nachole-amnura road in panditpur,chapainawabganj,1,0,human-hauler,hit her,Bangladesh,event,road accident
510,Schoolgirl killed in road accident,2018-10-07 14:15:45,https://en.prothomalo.com/bangladesh/Schoolgirl-killed-in-road-accident,nachole-amnura road in panditpur,chapainawabganj,1,0,human-hauler,hit her,Bangladesh,event,road accident
511,Road accident kills one,2018-10-06 10:32:48,https://en.prothomalo.com/bangladesh/Road-accident-kills-one,"bhaina intersection, magura",magura,1,5,human-hauler (nasimon),driver lost control over the steering,Bangladesh,event,road accident
514,Woman killed in Bhola launch accident,2018-09-02 13:00:33,https://en.prothomalo.com/bangladesh/Woman-killed-in-Bhola-launch-accident,hakimuddin launch ghat,bhola,1,3,,collision between two launches,Bangladesh,event,road accident
518,Cabinet to consider capital punishment for road accident deaths,2018-08-06 12:16:29,https://en.prothomalo.com/bangladesh/Cabinet-to-consider-capital-punishment-for-road,dhaka,dhaka,2,0,bus,speeding bus ran over a group of students,Bangladesh,event,road accident
519,2 drivers detained over Airport Road accident,2018-07-30 18:11:25,https://en.prothomalo.com/bangladesh/2-drivers-detained-over-Airport-Road-accident,airport road,dhaka,2,0,bus,,Bangladesh,event,road accident
521,Munshiganj female UP member killed in speedboat accident,2018-07-18 10:26:31,https://en.prothomalo.com/bangladesh/Munshiganj-female-UP-member-killed-in-speedboat,shimulia ghat,munshiganj,1,10,"speedboat, ferry",ferry collision,Bangladesh,event,road accident
527,7 killed in separate road accidents,2018-06-02 15:25:42,https://en.prothomalo.com/bangladesh/6-killed-in-separate-road-accidents,"sirajganj, nilphamari and rajshahi districts","sirajganj, nilphamari and rajshahi",7,25,,,Bangladesh,event,road accident
532,2 killed in Sirajganj road accident,2018-05-08 10:02:00,https://en.prothomalo.com/bangladesh/2-killed-in-Sirajganj-road-accident-5,hatikumrul-banpara highway at ramchar in ullahpara upazila,sirjaganj,2,3,bus and battery-run van,speeding bus ran over them,Bangladesh,event,road accident
533,2 killed in Sirajganj road accident,2018-05-08 10:02:00,https://en.prothomalo.com/bangladesh/2-killed-in-Sirajganj-road-accident-4,"hatikumrul-banpara highway at ramchar in ullahpara upazila, sirjaganj",sirjaganj,2,3,bus and battery-run van,speeding bus ran over pedestrians,Bangladesh,event,road accident
534,2 killed in Sirajganj road accident,2018-05-08 10:02:00,https://en.prothomalo.com/bangladesh/2-killed-in-Sirajganj-road-accident-3,hatikumrul-banpara highway at ramchar in ullahpara upazila,sirajganj,2,3,"bus, van",speeding bus hit a battery-run van,Bangladesh,event,road accident
535,2 killed in Sirajganj road accident,2018-05-08 10:02:00,https://en.prothomalo.com/bangladesh/2-killed-in-Sirajganj-road-accident-2,hatikumrul-banpara highway at ramchar,sirajganj,2,3,bus and battery-run van,speeding bus ran over victims,Bangladesh,event,road accident
536,2 killed in Sirajganj road accident,2018-05-08 10:02:00,https://en.prothomalo.com/bangladesh/2-killed-in-Sirajganj-road-accident,hatikumrul-banpara highway at ramchar in ullahpara upazila,sirajganj,2,3,bus and battery-run van,speeding bus ran over them,Bangladesh,event,road accident
543,2 motorcyclists killed in road accident,2018-03-17 12:38:25,https://en.prothomalo.com/bangladesh/2-motorcyclists-killed-in-road-accident-2,sullah upazila,sunamganj,2,1,"motorcycle, human hauler",human hauler hit the motorcycle,Bangladesh,event,road accident
544,2 motorcyclists killed in road accident,2018-03-17 12:38:25,https://en.prothomalo.com/bangladesh/2-motorcyclists-killed-in-road-accident,sullah upazila,sunamganj,2,1,"motorcycle, human hauler",human hauler hit the motorcycle,Bangladesh,event,road accident
545,2 killed in Chittagong road accident,2018-03-17 12:36:20,https://en.prothomalo.com/bangladesh/2-killed-in-Chittagong-road-accident,sitakunda upazila,chittagong,2,20,"bus, covered van",bus knocked a covered van from behind,Bangladesh,event,road accident
546,Man killed in Rajshahi road accident,2018-03-12 11:33:52,https://en.prothomalo.com/bangladesh/Man-killed-in-Rajshahi-road-accident,katkhali,rajshahi,1,0,bus,bus ran over him,Bangladesh,event,road accident
550,2 killed in road accident,2018-03-03 14:07:20,https://en.prothomalo.com/bangladesh/2-killed-in-road-accident-3,"banghabandhu bridge (west) road, konabari area",sirajganj,2,1,truck,truck hit a stationary truck,Bangladesh,event,road accident
551,2 killed in road accident,2018-03-03 14:07:20,https://en.prothomalo.com/bangladesh/2-killed-in-road-accident,"banghabandhu bridge (west) road, konabari area, kamarkhanda upazila",sirajganj,2,1,truck,truck hit a stationary one,Bangladesh,event,road accident
553,Narayanganj accident death toll rises to 10,2018-02-26 18:51:22,https://en.prothomalo.com/bangladesh/Narayanganj-accident-death-toll-rises-to-10,dhaka-chittagong highway at tribordi in sonargaon upazila,narayanganj,10,50,,,Bangladesh,event,road accident
554,4 killed in Mymensingh road accident,2018-02-24 16:39:37,https://en.prothomalo.com/bangladesh/4-killed-in-Mymensingh-road-accident,mymensingh-kishoreganj highway in char rasulpur area,mymensingh,4,30,bus,overturned,Bangladesh,event,road accident
555,3 killed in Shariatpur road accident,2018-02-24 12:15:44,https://en.prothomalo.com/bangladesh/3-killed-in-Shariatpur-road-accident,basudevpur village,shariatpur,3,7,truck,vehicle plunged into a ditch,Bangladesh,event,road accident
557,School student killed in road accident,2018-02-12 16:41:43,https://en.prothomalo.com/bangladesh/School-student-killed-in-road-accident,nagarmohammadpur,kushtia sadar,1,0,"motorbike, trolley",trolley hit motorbike,Bangladesh,event,road accident
558,Three motorcyclists killed in Syedpur road accident,2018-02-05 13:25:47,https://en.prothomalo.com/bangladesh/Three-motorcyclists-killed-in-Syedpur-road,niyamatpur dholagachh point of syedpur bypass,nilphamari,3,0,motorcyclists,road accident,Bangladesh,event,road accident
559,Natore road accident kills 2,2018-02-05 13:18:54,https://en.prothomalo.com/bangladesh/Natore-road-accident-kills-2,collectrate shapla chattar area,natore,2,1,"motorcycle, truck",speeding truck ran over the motorcycle,Bangladesh,event,road accident
564,Road accident kills 1 in Rajshahi,2018-01-20 09:49:54,https://en.prothomalo.com/bangladesh/Road-accident-kills-1-in-Rajshahi,dhaka-rajshahi highway,rajshahi,1,0,human hauler,,Bangladesh,event,road accident
565,AL leader killed in road accident,2018-01-20 09:31:41,https://en.prothomalo.com/bangladesh/AL-leader-killed-in-road-accident,borogaon-chachuli area on panchagarah-thakurgaon highway,thakurgaon sadar upazila,1,1,,,Bangladesh,event,road accident
566,2 youths killed in road accident,2018-01-19 11:17:18,https://en.prothomalo.com/bangladesh/2-youths-killed-in-road-accident,dhaka-khulna highway,faridpur,2,0,road,,Bangladesh,event,road accident
568,Minor schoolgirl killed in road accident,2018-01-09 14:42:03,https://en.prothomalo.com/bangladesh/Minor-schoolgirl-killed-in-road-accident,bhabanipur village,meherpur district,1,0,power tiller,vehicle collision,Bangladesh,event,road accident
569,Road accident kills 2 in Cox's Bazar,2018-01-08 19:36:52,https://en.prothomalo.com/bangladesh/Road-accident-kills-2-in-Cox-s-Bazar,pechardip area,cox's bazar,2,3,bus and cng-run auto-rickshaw,bus knocked a cng-run auto-rickshaw,Bangladesh,event,road accident
572,Schoolgirl killed in road accident,2018-01-04 15:31:44,https://en.prothomalo.com/bangladesh/Schoolgirl-killed-in-road-accident-2,megdubi area,gazipur city,1,0,truck,truck ran over schoolgirl,Bangladesh,event,road accident
573,Schoolgirl killed in road accident,2018-01-04 15:31:44,https://en.prothomalo.com/bangladesh/Schoolgirl-killed-in-road-accident,megdubi area,gazipur city,1,0,truck,truck ran over her,Bangladesh,event,road accident
575,Bogra road accident toll rises to 4,2017-12-27 18:33:29,https://en.prothomalo.com/bangladesh/Bogra-road-crash-kills-3,mokamtala,bogra,4,25,,,Bangladesh,event,road accident
578,2 killed in Mymensingh road accident,2017-12-21 17:16:11,https://en.prothomalo.com/bangladesh/2-killed-in-Mymensingh-road-accident,mymensingh-netrakona road in moza hadi area,mymensingh,2,2,road,,Bangladesh,event,road accident
579,2 college students killed in road accident,2017-12-20 23:43:59,https://en.prothomalo.com/bangladesh/2-college-students-killed-in-road-accident,jessore-narail highway,jessore,2,0,car,,Bangladesh,event,road accident
584,College teacher killed in road accident,2017-11-26 20:31:46,https://en.prothomalo.com/bangladesh/College-teacher-killed-in-road-accident,mochmoil bazar,bagmara,1,0,,,Bangladesh,event,road accident
585,Ex-CUET student killed in road accident,2017-11-25 09:07:07,https://en.prothomalo.com/bangladesh/Ex-CUET-student-killed-in-road-accident,new monsurabad area,chittagong,1,0,bus,run over,Bangladesh,event,road accident
586,Bus torched over road accident in Ctg,2017-11-21 14:10:20,https://en.prothomalo.com/bangladesh/Bus-torched-over-road-accident-in-Ctg,solosahar area of panchlaish,panchlaish,0,1,"bus, motorcycle",bus hit a motorcycle rider,Bangladesh,event,road accident
587,4 killed in road accidents,2017-11-17 13:03:04,https://en.prothomalo.com/bangladesh/4-killed-in-road-accidents-2,sitakunda and hathazari upazilas,chittagong,4,3,,,Bangladesh,event,road accident
588,4 killed in road accidents,2017-11-17 13:03:04,https://en.prothomalo.com/bangladesh/4-killed-in-road-accidents,sitakunda and hathazari upazilas,chittagong,4,3,,,Bangladesh,event,road accident
589,4 killed in road accidents,2017-11-17 13:03:04,https://en.prothomalo.com/bangladesh/4-killed-in-Munshiganj-road-accidents,sitakunda and hathazari upazilas,chittagong,4,3,,,Bangladesh,event,road accident
590,3 killed in Mymensingh road crash,2018-12-13 10:32:00,https://en.prothomalo.com/bangladesh/2-killed-in-road-accident-2,shikarikanda,mymensingh,3,1,"covered van, pedestrians",ran over pedestrians,Bangladesh,event,road accident
592,2 killed in separate road accidents,2017-11-03 20:10:29,https://en.prothomalo.com/bangladesh/2-killed-in-separate-road-accidents,ashulia,savar,2,3,,,Bangladesh,event,road accident
595,Road accident kills 2,2017-10-27 12:10:36,https://en.prothomalo.com/bangladesh/Road-accident-kills-2-3,chittagong-teknaf highway near rabeta hospital,ramu,2,8,"truck, human hauler",truck hit a human hauler,Bangladesh,event,road accident
596,Road accident kills 2,2017-10-27 12:10:36,https://en.prothomalo.com/bangladesh/Road-accident-kills-2-2,chittagong-teknaf highway near rabeta hospital,ramu,2,8,"truck, human hauler",truck hit a human hauler,Bangladesh,event,road accident
597,Road accident kills 2,2017-10-27 12:10:36,https://en.prothomalo.com/bangladesh/Road-accident-kills-2,chittagong-teknaf highway near rabeta hospital,ramu,2,8,"truck, human hauler",truck hit a human hauler,Bangladesh,event,road accident
598,"Road accidents kill children, working people most",2017-10-22 00:00:10,https://en.prothomalo.com/bangladesh/Road-accidents-kill-children-working-people-most,bangladesh,,0,0,,,Bangladesh,event,road accident
601,Road accident kills student,2017-10-09 17:46:54,https://en.prothomalo.com/bangladesh/Road-accident-kills-student,duttapara bazaar area on natore-dhaka highway,natore,1,0,bus,ran over,Bangladesh,event,road accident
602,Chuadanga road accident kills girl,2017-10-02 17:16:29,https://en.prothomalo.com/bangladesh/Chuadanga-road-accident-kills-girl,baidyanathpur village,chuadanga district,1,0,"tractor, human hauler",tractor hit human hauler,Bangladesh,event,road accident
613,2 killed in Netrakona road accident,2017-08-26 22:44:42,https://en.prothomalo.com/bangladesh/2-killed-in-Netrakona-road-accident-2,hirakanda on netrakona- kalmakanda road,netrakona,2,1,motorcycle,,Bangladesh,event,road accident
614,2 killed in Netrakona road accident,2017-08-26 22:44:42,https://en.prothomalo.com/bangladesh/2-killed-in-Netrakona-road-accident,hirakanda on netrakona- kalmakanda road,netrakona,2,1,motorcycle,,Bangladesh,event,road accident
617,"Microbus with bridal party plunges into canal at Borguna, 7 dead",2024-06-22 16:24:58,,haldia bazar area of chawra union,amtali upazila of borguna,7,0,microbus,bridge collapsed,Bangladesh,event,road accident
620,BRTC truck runs over SSC examinee in Uttara,2025-04-27 17:36:49,https://en.prothomalo.com/bangladesh/city/r5pquikuo0,"azampur, uttara",dhaka,1,0,truck,speeding truck,Bangladesh,event,road accident
622,3 workers killed in Pabna road crash,2024-12-27 12:05:03,https://en.prothomalo.com/bangladesh/accident/ekltddobfy,rangamati area of santhia upazila,pabna,3,5,three-wheeler and truck,a speeding truck ran over a three-wheeler,Bangladesh,event,road accident
625,2 killed in Gazipur road accident,2017-07-08 23:23:08,,"baipass and mouchak areas, dhaka-tangail highway",kaliakair,2,0,"motorcycle, bus","bus knocked down motorcycle, boy crushed under wheels of speeding bus",Bangladesh,event,road accident
626,Three motorbike riders killed in Gopalganj road crash,2025-01-17 12:19:21,https://en.prothomalo.com/bangladesh/accident/u9eby3k1yh,dhaka-khulna highway at hironnokandi,gopalganj district,3,0,"motorcycle, vehicle",vehicle hit motorcycle,Bangladesh,event,road accident
629,"Truck, pickup van collision kills 4 in Habiganj",2025-04-18 10:19:43,https://en.prothomalo.com/bangladesh/accident/62zmalfk3n,bakharnakhar area on the dhaka-sylhet highway,habiganj,4,5,truck and a pickup van,collision,Bangladesh,event,road accident
630,Driver of bus killing two CUET students arrested,2024-04-24 17:15:14,https://en.prothomalo.com/bangladesh/local-news/y3n10gzsf4,kotwali area of chattogram city,chattogram,0,2,bus,hit and run,Bangladesh,event,road accident
631,BNP chief’s adviser Habib injured in road accident,2017-07-02 22:06:43,https://en.prothomalo.com/bangladesh/BNP-chief’s-adviser-Habib-injured-in-road-accident,gurudaspur,natore,0,3,"car, truck",head-on collision,Bangladesh,event,road accident
639,Metro Rail authorities urge public to avoid flying paper lanterns,2024-12-30 20:18:48,https://en.prothomalo.com/bangladesh/m7xhtkudmi,mrt line-6 route from uttara north to motijheel and surrounding areas,dhaka,0,0,"metro rail, paper lanterns",paper lanterns entangled in high-voltage electric lines,Bangladesh,event,road accident
642,Child goes missing as auto-rickshaw falls into drain in Chattogram,2025-04-19 09:35:15,https://en.prothomalo.com/bangladesh/local-news/cso5ox254g,chawkbazar area of chattogram city,chattogram,0,1,battery-run rickshaw,over speed,Bangladesh,event,road accident
643,"Woman, daughter among 3 killed in ambulance-van collision in Jashore",2025-03-19 11:03:29,https://en.prothomalo.com/bangladesh/accident/o3upx6bi9u,jhikargachha,jashore,3,0,ambulance and engine-run rickshaw van,head-on collision,Bangladesh,event,road accident
644,Man killed in bus-truck collision in Dhaka ,2024-11-17 11:54:10,https://en.prothomalo.com/bangladesh/city/526xq1dh4e,paltan area,dhaka,1,0,"bus, truck, rickshaw",head-on collision,Bangladesh,event,road accident
646,"Five dead, 25 injured in bus-truck collision in Gopalganj",2024-09-01 10:13:50,https://en.prothomalo.com/bangladesh/accident/x73yy25999,dhaka-gopalganj highway in kashiani upazila,gopalganj,5,25,passenger bus and a truck,head-on collision,Bangladesh,event,road accident
648,7 killed in bus-auto rickshaw collision in Mymensingh,2024-02-16 16:21:25,https://en.prothomalo.com/bangladesh/accident/59kq5vbve6,mymensingh-sherpur highway in the alalpur area of mymensingh sadar upazila,mymensingh,7,0,bus and a cng-run auto rickshaw,head-on collision,Bangladesh,event,road accident
649,Road crash at Hanif flyover kills one,2023-12-21 13:56:36,https://en.prothomalo.com/bangladesh/accident/wszlhyefw3,jatrabari,dhaka,1,0,"motorcycle, bus",hit by a bus,Bangladesh,event,road accident
650,"4 killed from bus-truck collision in Tangail, 8 injured",2024-10-04 16:06:04,https://en.prothomalo.com/bangladesh/accident/9so2dbk3a6,tangail-mymensingh highway in sholakura area,tangail,4,8,"bus, truck",head-on collision,Bangladesh,event,road accident
652,5 killed as buses collide head-on in Chattogram,2025-03-31 10:50:09,,chattogram-cox’s bazar highway in lohagara upazila,chattogram,5,8,passenger buses,head-on collision,Bangladesh,event,road accident
655,One killed in road crash in Dhaka,2023-06-05 11:36:25,https://en.prothomalo.com/bangladesh/city/2a9jwz1w0w,jatrabari area,dhaka,1,0,,,Bangladesh,event,road accident
657,5 killed as truck hits auto-rickshaw in Jamalpur,2025-01-31 08:52:43,https://en.prothomalo.com/bangladesh/accident/ybxv2w0xzf,sarishabari upazila,jamalpur,5,1,"truck, auto-rickshaw",truck hitting auto-rickshaw,Bangladesh,event,road accident
659,Separate road accidents kill 2 in Magura,2017-05-31 14:15:37,,dhaka-magura highway and magura-jhenidah road,magura,2,0,"pickup van, truck, bus",head-on collision and being crushed under wheels,Bangladesh,event,road accident
660,Bus overturns killing five in Cumilla,2024-05-17 12:26:50,https://en.prothomalo.com/bangladesh/accident/7hsdawhs6p,basantapur area,cumilla,5,10,passenger bus,lost control,Bangladesh,event,road accident
662,4 killed in Bogura bus-covered van collision,2024-07-09 11:48:15,https://en.prothomalo.com/bangladesh/accident/cy89cslfvt,rangpur-dhaka highway at banani lichutala area,bogura,4,7,"passenger bus, covered van",head-on collision,Bangladesh,event,road accident
665,Four killed in Ctg road accident,2017-05-25 20:12:16,https://en.prothomalo.com/bangladesh/Four-killed-in-Ctg-road-accident,chittagong-cox's bazar highway at koshaipara in chandnaish upazila,chandnaish,4,9,"truck, human-hauler",truck collided with a human-hauler,Bangladesh,event,road accident
666,Two college students die as truck collides with motorcycle in Natore ,2023-08-31 09:54:41,https://en.prothomalo.com/bangladesh/accident/hos2y1mx1y,baraigram,natore,2,0,"truck, motorcycle",truck collided with motorcycle,Bangladesh,event,road accident
667,ASI among 6 killed in Gopalganj road accident,2017-05-25 16:01:14,https://en.prothomalo.com/bangladesh/ASI-among-6-killed-in-Gopalganj-road-accident,dhaka-khulna highway at nichupara,gopalganj sadar upazila,6,4,"microbus, easy bike",microbus hit an easy bike,Bangladesh,event,road accident
670,Traffic police killed in Gaibandha road crash,2023-08-24 12:20:22,https://en.prothomalo.com/bangladesh/accident/fcqszxpuik,golchattar,gaibandha,1,0,"truck, motorbike",truck hit motorbike,Bangladesh,event,road accident
671,Eleven die as truck hits vehicles at toll plaza in Jhalakathi,2024-04-17 15:06:30,https://en.prothomalo.com/bangladesh/local-news/z0chp27pt6,gabkhan bridge toll plaza,jhalakathi,11,25,"cement-laden truck, other vehicles",truck lost control and hit a number of vehicles,Bangladesh,event,road accident
674,10 injured after 3 vehicles collide on expressway in Munshiganj,2025-02-17 14:31:33,https://en.prothomalo.com/bangladesh/accident/2x8785gcfe,sreenagar expressway near sreenagar ferry ghat,munshiganj,0,10,"passenger bus, truck, pickup van",collision due to dense fog and limited visibility,Bangladesh,event,road accident
